segment,n_customers,avg_recency_days,avg_frequency,avg_monetary_brl,total_revenue_brl,revenue_pct
At Risk,15490,380.98,1.05,201.93,3127833.08,23.66
Other,14684,142.45,1.02,143.03,2100187.63,15.88
Champions,6474,90.89,1.17,274.16,1774913.54,13.42
Cant Lose Them,5874,436.15,1.06,240.29,1411442.64,10.68
Promising,6679,134.06,1.0,204.96,1368948.91,10.35
Need Attention,5762,155.79,1.0,190.51,1097741.57,8.3
Loyal,8153,183.63,1.08,127.4,1038686.0,7.86
Hibernating,10566,337.37,1.0,53.76,568045.66,4.3
Potential Loyalist,8222,76.66,1.0,40.53,333220.25,2.52
About to Sleep,3702,256.53,1.0,43.07,159438.22,1.21
Lost,4666,475.36,1.0,30.03,140131.74,1.06
New Customer,3086,135.22,1.0,32.7,100908.87,0.76
